assignment_id,date_effective,placement_id,creative_id,rotation_weight_pct,status
ASSIGN-001,2026-04-01,PL-001,CR-001,100,active
ASSIGN-002,2026-04-01,PL-002,CR-002,100,active
ASSIGN-003,2026-04-01,PL-003,CR-003,100,active
ASSIGN-004,2026-04-01,PL-004,CR-004,100,active
ASSIGN-005,2026-04-01,PL-005,CR-005,100,active
ASSIGN-006,2026-04-01,PL-006,CR-006,100,active
ASSIGN-007,2026-04-01,PL-007,CR-007,100,active
ASSIGN-008,2026-04-01,PL-008,CR-008,100,active
ASSIGN-009,2026-04-01,PL-009,CR-009,100,active
ASSIGN-010,2026-04-21,PL-001,CR-001,40,active
ASSIGN-011,2026-04-21,PL-002,CR-002,40,active
ASSIGN-012,2026-04-21,PL-003,CR-003,40,active
ASSIGN-013,2026-04-21,PL-004,CR-004,40,active
ASSIGN-014,2026-04-21,PL-005,CR-005,40,active
ASSIGN-015,2026-04-21,PL-006,CR-006,40,active
ASSIGN-016,2026-04-21,PL-007,CR-007,40,active
ASSIGN-017,2026-04-21,PL-008,CR-008,40,active
ASSIGN-018,2026-04-21,PL-009,CR-009,40,active
ASSIGN-019,2026-04-21,PL-010,CR-010,60,active
