ad_unit_id,canonical_name,adflow_name,magnite_name,indexexchange_name,pubmatic_name,site_section,format,size,viewability_vendor,active
AU-101,Homepage_Billboard_970x250,Homepage_Billboard_970x250,MAG_Homepage_Billboard,IX_Home_Bill_970,PUB_Home_Billboard,homepage,display,970x250,DoubleVerify,true
AU-102,Homepage_MedRect_300x250,Homepage_MedRect_300x250,MAG_Homepage_MedRect,IX_Home_MR_300,PUB_Home_MR,homepage,display,300x250,DoubleVerify,true
AU-103,News_Leaderboard_728x90,News_Leaderboard_728x90,MAG_News_LB_728,IX_News_LB_728,PUB_News_LB,news,display,728x90,IAS,true
AU-104,News_Native_InFeed,News_Native_InFeed,MAG_News_Native,IX_News_Native_Feed,PUB_News_Native,news,native,fluid,DoubleVerify,true
AU-105,Sports_Leaderboard_728x90,PDM_Sports_LB_728,MAG_Sports_LB_728,IX_Sports_LB_728,PUB_Sports_LB,sports,display,728x90,IAS,true
AU-106,Sports_Video_PreRoll,Sports_Video_PreRoll,MAG_Sports_VidPre,IX_Sports_PreRoll,PUB_Sports_Video,sports,video,640x480,DoubleVerify,true
AU-107,Finance_Skyscraper_160x600,Finance_Skyscraper_160x600,MAG_Finance_Sky_160,IX_Finance_Sky_160,PUB_Finance_Sky,finance,display,160x600,DoubleVerify,true
AU-108,Finance_MedRect_300x250,Finance_MedRect_300x250,MAG_Finance_MR_300,IX_Finance_MR_300,PUB_Finance_MR,finance,display,300x250,DoubleVerify,true
AU-109,Lifestyle_Interstitial_320x480,Lifestyle_Interstitial_320x480,MAG_Lifestyle_Interstitial,IX_Life_Interstit,PUB_Life_Interstit,lifestyle,interstitial,320x480,MOAT,true
AU-110,Tech_Banner_468x60,Tech_Banner_468x60,MAG_Tech_Banner_468,IX_Tech_Banner_468,PUB_Tech_Banner,tech,display,468x60,IAS,true
AU-111,Tech_MedRect_300x250,Tech_MedRect_300x250,MAG_Tech_MR_300,IX_Tech_MR_300,PUB_Tech_MR,tech,display,300x250,IAS,true
AU-112,Travel_Video_PreRoll,Travel_Video_PreRoll,MAG_Travel_VidPre,IX_Travel_PreRoll,PUB_Travel_Video,travel,video,640x480,DoubleVerify,true
AU-113,Travel_Banner_728x90,PDM_Travel_Banner_728,MAG_Travel_Banner_728,IX_Travel_Banner,PUB_Travel_Banner,travel,display,728x90,IAS,true
AU-114,Entertainment_Sticky_320x50,Entertainment_Sticky_320x50,MAG_Ent_Sticky_320,IX_Ent_Sticky,PUB_Ent_Sticky,entertainment,display,320x50,MOAT,true
AU-115,Auto_Sidebar_300x600,Auto_Sidebar_300x600,MAG_Auto_Sidebar,IX_Auto_Sidebar,PUB_Auto_Sidebar,auto,display,300x600,IAS,false
AU-116,Opinion_Leaderboard_728x90,Opinion_Leaderboard_728x90,MAG_Opinion_LB_728,IX_Opinion_LB,PUB_Opinion_LB,opinion,display,728x90,DoubleVerify,false
