ssp_line_id,month,deal_id,ssp_ad_unit_name,billed_impressions,gross_revenue_usd,ssp_fee_pct,ssp_fee_usd,net_revenue_usd
ADFLOW-LINE-001,2026-04,DEAL-1001,Homepage_Billboard_970x250,360929,3073.05,15.0,460.96,2612.09
ADFLOW-LINE-002,2026-04,DEAL-1002,PDM_Sports_LB_728,230674,2921.56,15.0,438.23,2483.33
ADFLOW-LINE-003,2026-04,DEAL-1003,Finance_Skyscraper_160x600,374042,5819.88,15.0,872.98,4946.9
ADFLOW-LINE-004,2026-04,DEAL-1003,Finance_MedRect_300x250,342094,4842.24,15.0,726.34,4115.9
ADFLOW-LINE-005,2026-04,DEAL-1005,News_Leaderboard_728x90,327245,1692.67,15.0,253.9,1438.77
ADFLOW-LINE-006,2026-04,DEAL-1005,Tech_Banner_468x60,371760,1707.96,15.0,256.19,1451.77
ADFLOW-LINE-007,2026-04,DEAL-1011,PDM Travel Banner 728,262927,1452.61,15.0,217.89,1234.72
ADFLOW-LINE-008,2026-04,DEAL-1014,News_Native_InFeed,349209,2421.62,15.0,363.24,2058.38
ADFLOW-LINE-009,2026-04,DEAL-1018,Finance_Skyscraper_160x600,363370,5167.6,15.0,775.14,4392.46
ADFLOW-LINE-010,2026-04,DEAL-1022,Tech_Banner_468x60,251256,999.08,15.0,149.86,849.22
ADFLOW-LINE-011,2026-04,DEAL-1001,Auto_Sidebar_300x600,28500,285.0,15.0,42.75,242.25
ADFLOW-LINE-012,2026-04,DEAL-9999,Unknown_Placement_XYZ,45000,450.0,15.0,67.5,382.5
